,CODE,ProdHRisk,Atotal,pRegARisk,Ntype,Ngroup,RetOnCap,LogATotal,RBCratio,year95,year96,year97,lagpRegARisk,lagProdHRisk,CARatio,lagCAratio
14788,88099,0,34052652,0.020666031,1,1,0.029840891,17.34341847,938.6019054,0,0,0,0.013337208,0,0.639850077,0.595712601
14789,88099,0,55125256,0.017909042,1,1,0.014409419,17.82511854,408.345892,0,0,0,0.021049089,0,0.402370358,0.639850077
14790,88099,0,65528138,0.018785983,1,1,0.064589911,17.9979902,383.2365441,0,0,0,0.019309898,0,0.367621723,0.402370358
14791,88099,0,71863835,0.02577543,1,1,0.181793063,18.09028371,362.7316614,0,0,0,0.018785983,0,0.341797039,0.367621723
14792,88137,0,16046601,0.002929464,1,1,-0.022409173,16.59100761,545.1938721,0,0,0,0.002929464,0,0.403455536,0.403455536
14793,88137,0,19005750,0.002926529,1,1,0.018837398,16.76025212,506.4095915,0,0,0,0.002929464,0,0.341116083,0.403455536
14794,88137,0,20394396,0.002901143,1,1,-0.098052129,16.83077072,438.4695543,1,0,0,0.002926529,0,0.291114137,0.341116083
14795,88137,0,22853214,0.002877833,1,1,0.024950524,16.94460232,449.6502588,0,1,0,0.002901143,0,0.26817974,0.291114137
14796,88153,0.110385561,8836528,0.00326092,1,1,0.118120533,15.9944046,1742.467508,0,0,0,0.003209494,0.120559754,0.626607984,0.26817974
14797,88153,0.099034818,9525528,0.003368242,1,1,0.098537934,16.06948591,1886.959668,1,0,0,0.00326092,0.110385561,0.646071063,0.626607984
14798,88153,0.092338482,10122992,0.003427275,1,1,0.05212455,16.13031983,2216.769656,0,1,0,0.003368242,0.099034818,0.641424986,0.646071063
14799,88153,0.082733628,10881466,0.003437875,1,1,0.09512206,16.20257153,2164.651291,0,0,1,0.003427275,0.092338482,0.659127088,0.641424986
14800,88153,0.071676495,11759669,0.003294752,1,1,0.129116627,16.28018635,1176.336844,0,0,0,0.003437875,0.082733628,0.68915273,0.659127088
14801,88153,0.344693928,12618225,0.003253415,1,1,0.078559968,16.35065276,905.0848569,0,0,0,0.003294752,0.071676495,0.699812216,0.68915273
14802,88153,0.330612641,13349724,0.003794509,1,1,0.06809076,16.40700627,1444.899452,0,0,0,0.003253415,0.344693928,0.714440164,0.699812216
14803,88153,0.326473977,14013155,0.005451726,1,1,0.06473936,16.45550709,2838.762361,0,0,0,0.003794509,0.330612641,0.728479989,0.714440164
14804,88153,0.318719881,14462561,0.006083976,1,1,0.053981078,16.48707387,3071.087265,0,0,0,0.005451726,0.326473977,0.741882368,0.728479989
14805,88153,0.309820173,15169010,0.005526509,1,1,0.063514441,16.53476509,1281.727618,0,0,0,0.006083976,0.318719881,0.758445278,0.741882368
14806,88153,0.31137255,15304100,0.005324321,1,1,0.031638792,16.54363132,1344.319213,0,0,0,0.005526509,0.309820173,0.778115407,0.758445278
14807,88153,0.295213309,15811663,0.006629715,1,1,0.029736712,16.57625839,1392.360689,0,0,0,0.005324321,0.31137255,0.776223285,0.778115407
14808,88153,0.285411191,16064900,0.00636144,1,1,0.021710189,16.59214733,1447.12113,0,0,0,0.006629715,0.295213309,0.782061015,0.776223285
14809,88153,0.271692299,16730451,0.006510154,1,1,0.038671277,16.63274103,1496.202407,0,0,0,0.00636144,0.285411191,0.780275798,0.782061015
14810,88153,0.297656643,16079273,0.008064007,1,1,0.029817676,16.59304161,1566.653498,0,0,0,0.006510154,0.271692299,0.838520995,0.780275798
14811,88161,0.319966873,15563962,0.167694076,1,1,0.019310331,16.56046867,129.5316581,0,0,0,0.167694076,0.319966873,0.641543972,0.641543972
14812,88161,1.010787202,14437540,0.184913457,1,1,0.008667681,16.48534232,165.9604273,0,0,0,0.167694076,0.319966873,0.730150289,0.641543972
14813,88161,0.986812321,13239246,0.19685884,1,1,-0.085260454,16.39869616,339.8425653,1,0,0,0.184913457,1.010787202,0.722104416,0.730150289
14814,88170,0,375448,0.001317027,1,0,0.271779249,12.83587526,667.3123288,0,0,0,0.001317027,0,0.648742303,0.648742303
14815,88170,0,490887,0.001023305,1,0,0.254531059,13.10396924,673.4416173,0,0,0,0.001317027,0,0.666407951,0.648742303
14816,88170,0,473693,0.001034107,1,0,0.314016688,13.06831471,1295.578704,1,0,0,0.001023305,0,0.590772927,0.666407951
14817,88170,0,793719,0,1,0,0.509077119,13.58448477,1469.869218,0,1,0,0.001034107,0,0.691009035,0.590772927
14818,88218,0,1832473,0.072105894,1,0,-0.417824638,14.42117698,638.1682222,0,0,0,0.072105894,0,0.244036338,0.244036338
14819,88218,0,1803455,0.063588436,1,0,0.03605887,14.40521483,747.0869535,0,0,0,0.072105894,0,0.236488851,0.244036338
14820,88218,0,1712911,0.056643455,1,0,-0.189248282,14.35370482,759.4204651,0,0,0,0.063588436,0,0.220017269,0.236488851
14821,88218,0,1766314,0.061356803,1,0,-0.186721259,14.38440545,671.966435,0,0,0,0.056643455,0,0.224418195,0.220017269
14822,88218,0,1702645,0.067281318,1,0,-0.119287088,14.34769348,557.034512,0,0,0,0.061356803,0,0.200587321,0.224418195
14823,88218,0,1711956,0.064313001,1,0,-0.250692577,14.35314713,472.313395,0,0,0,0.067281318,0,0.174164523,0.200587321
14824,88218,0,1676810,0.074202152,1,0,-0.679320734,14.33240374,284.9398458,0,0,0,0.064313001,0,0.141527663,0.174164523
14825,88218,0,1665534,0.041669939,1,0,0.146139622,14.32565635,491.3321626,0,0,0,0.074202152,0,0.164621677,0.141527663
14826,88226,0,1180422,0.0029989,1,1,-0.075343386,13.98138256,1951.618817,0,0,0,0.0029989,0,0.586235262,0.586235262
14827,88226,0,1393690,0.001826358,1,1,-0.140675911,14.14746546,846.6824038,0,0,0,0.0029989,0,0.427214086,0.586235262
14828,88226,0,1699451,0.001629531,1,1,-0.034009928,14.34581582,524.848766,1,0,0,0.001826358,0,0.346135311,0.427214086
14829,88226,0,1892500,0.003,1,1,0.036700237,14.45340926,383.0159566,0,1,0,0.001629531,0,0.322668428,0.346135311
14830,88226,0,2171699,0.003,1,1,0.034319439,14.59102037,282.6411299,0,0,1,0.003,0,0.291178934,0.322668428
14831,88226,0,2673826,0.003,1,1,-0.00725231,14.79902096,216.0238941,0,0,0,0.003,0,0.234794635,0.291178934
14832,88226,0,3133273,0.003,1,1,-0.087118392,14.9575887,154.7359396,0,0,0,0.003,0,0.184308868,0.234794635
14833,88226,0,1688443,0.004084073,1,1,0.069723092,14.33931736,1460.616191,0,0,0,0.004084073,0,0.646914347,0.646914347
14834,88226,0,1770905,0.003,1,1,0.026976557,14.38700127,1548.186991,0,0,0,0.004084073,0,0.626861407,0.646914347
14835,88226,0,1704000,0.003,1,1,0.067394089,14.34848899,1925.669722,0,0,0,0.003,0,0.69773885,0.626861407
14836,88226,0,1665414,0.002999995,1,1,0.048881049,14.3255843,2192.346043,0,0,0,0.003,0,0.749872404,0.69773885
14837,88226,0,1928915,0.003000002,1,1,-0.014234172,14.47246823,2203.050572,0,0,0,0.002999995,0,0.645457161,0.749872404
14838,88226,0,2130681,0.003492804,1,1,-0.038026116,14.5719522,1144.493409,0,0,0,0.003000002,0,0.558259073,0.645457161
14839,88226,0,2391030,0.003,1,1,-0.03099141,14.68723479,830.363733,0,0,0,0.003492804,0,0.48368862,0.558259073
14840,88226,0,2596919,0.003363323,1,1,-0.011496503,14.7698363,878.6734757,0,0,0,0.003,0,0.438612833,0.48368862
14841,88277,0,443879,0.003,1,0,0.220997646,13.00330728,1910.089485,0,0,0,0.003,0,0.577055909,0.577055909
14842,88277,0,406369,0.008456261,1,0,0.159240292,12.91501689,1356.062884,0,0,0,0.003,0,0.488206532,0.577055909
14843,88277,0,579982,0.032009474,1,0,0.176606717,13.27075235,1407.659609,1,0,0,0.008456261,0,0.593808084,0.488206532
14844,88277,0,646613,0.042048632,1,0,0.21616321,13.37950325,1143.626416,0,1,0,0.032009474,0,0.552771132,0.593808084
14845,88277,0,719809,0.043540978,1,0,0.105379387,13.48674118,1465.013714,0,0,1,0.042048632,0,0.652999615,0.552771132
